Id,field,harvest_year,harvest_month,age,temperature,Precipitation,Soilwater_L3,dewpoint,Soilwater_L4,windspeed,Soilwater_L1,Soilwater_L2,production
32,0,2006,9,21,28.251,129.82,0.28342,23.334,0.30029,2.2166,0.27897,0.27759,0.19990306946688208
33,0,2006,10,21,29.143,127.15,0.26454,22.787,0.2834,2.4335,0.2477,0.25083,0.4635218093699517
34,0,2006,11,21,28.427,144.26,0.26039,23.159,0.27174,2.1827,0.26171,0.25841,0.22264943457189013
35,0,2006,12,21,28.852,239.74,0.25085,22.782,0.26405,2.41,0.24324,0.24136,0.16284329563812602
36,0,2007,1,22,29.083,161.52,0.24159,23.677,0.25605,2.4876,0.25329,0.246,0.18520193861066242
37,0,2007,2,22,26.198,543.37,0.29861,24.294,0.26777,2.2544,0.32402,0.31796,0.07182552504038774
38,0,2007,3,22,26.147,527.69,0.34308,24.591,0.3208,1.9766,0.35022,0.34882,0.03941841680129241
39,0,2007,4,22,26.553,454.07,0.36034,25.051,0.35755,1.8929,0.36094,0.36079,0.020775444264943457
40,0,2007,5,22,27.013,343.99,0.3576,25.173,0.35986,1.862,0.35704,0.35714,0.02978998384491115
41,0,2007,6,22,26.987,99.229,0.34263,24.063,0.35146,1.899,0.33866,0.33936,0.047205169628432964
42,0,2007,7,22,27.018,100.54,0.32594,24.284,0.33189,1.7553,0.32876,0.32773,0.09169628432956382
43,0,2007,8,22,27.659,57.046,0.31248,23.804,0.32094,2.0088,0.31036,0.30999,0.1600969305331179
44,0,2007,9,22,28.445,74.676,0.28239,23.273,0.3037,2.2834,0.273,0.27291,0.15327948303715672
45,0,2007,10,22,28.267,179.94,0.26346,23.133,0.28505,2.4597,0.26473,0.26094,0.4945718901453958
46,0,2007,11,22,29.365,93.777,0.2469,22.592,0.2717,2.5323,0.23333,0.23101,0.43111470113085626
47,0,2007,12,22,27.158,332.69,0.26404,23.777,0.26358,1.9742,0.29272,0.28483,0.19880452342487887
48,0,2008,1,23,26.094,430.86,0.32352,24.035,0.28765,2.026,0.33843,0.33527,0.11082390953150241
49,0,2008,2,23,25.983,418.01,0.35727,24.393,0.35095,2.0207,0.35868,0.35838,0.0427140549273021
50,0,2008,3,23,25.654,515.63,0.36392,24.153,0.364,1.6453,0.36349,0.36359,0.06184168012924072
51,0,2008,4,23,25.948,477.05,0.36439,24.565,0.36731,1.6736,0.36447,0.36457,0.09906300484652666
52,0,2008,5,23,26.187,307.1,0.36049,24.637,0.36802,1.7208,0.36043,0.36029,0.05453957996768982
53,0,2008,6,23,26.362,175.52,0.35212,24.078,0.3581,1.6947,0.3494,0.34981,0.1098869143780291
54,0,2008,7,23,26.96,68.148,0.31649,23.436,0.33145,1.8285,0.31622,0.3155,0.11773828756058158
55,0,2008,8,23,27.453,82.902,0.31362,23.642,0.31857,1.9141,0.31484,0.31377,0.36665589660743136
56,0,2008,9,23,28.16,115.79,0.29746,23.652,0.30689,2.2509,0.29726,0.29568,0.5310177705977382
57,0,2008,10,23,28.803,172.65,0.27428,22.762,0.29188,2.4395,0.26737,0.26711,0.5120840064620357
58,0,2008,11,23,29.429,88.508,0.24514,22.365,0.27514,2.4118,0.2335,0.23134,0.28953150242326336
59,0,2008,12,23,27.397,206.52,0.30249,23.957,0.28295,1.9059,0.31581,0.31124,0.23004846526655898
60,0,2009,1,24,26.739,302.09,0.32504,24.073,0.31106,2.0401,0.3312,0.32955,0.10636510500807755
61,0,2009,2,24,26.046,431.57,0.35296,24.323,0.3443,1.9628,0.35603,0.35539,0.05641357027463652
62,0,2009,3,24,26.098,569.9,0.36171,24.605,0.36437,1.8023,0.36148,0.36147,0.04016155088852989
63,0,2009,4,24,26.163,468.59,0.35328,24.312,0.35701,1.6698,0.35356,0.35319,0.012148626817447496
64,0,2009,5,24,25.988,544.7,0.36485,24.468,0.36558,1.5193,0.36463,0.36457,0.04966074313408724
65,0,2009,6,24,26.227,332.74,0.35533,24.388,0.36351,1.8308,0.35512,0.35533,0.06878836833602585
66,0,2009,7,24,26.856,85.615,0.32925,23.833,0.34177,2.0467,0.32642,0.32684,0.15153473344103394
67,0,2009,8,24,28.183,62.841,0.29024,22.872,0.31346,2.1847,0.27818,0.27934,0.29195476575121165
68,0,2009,9,24,29.308,65.107,0.26457,21.729,0.28946,2.5489,0.2326,0.23947,0.4555088852988692
69,0,2009,10,24,30.126,70.557,0.24629,21.069,0.27083,2.5929,0.21379,0.21973,0.5067851373182553
70,0,2009,11,24,30.316,48.459,0.24095,21.126,0.25753,2.7968,0.20721,0.21474,0.6372859450726979
71,0,2010,2,25,27.484,349.49,0.3348,24.692,0.30502,2.5474,0.3424,0.34057,0.07195476575121164
72,0,2010,3,25,27.87,257.27,0.33091,24.749,0.32778,2.1424,0.33339,0.33238,0.02768982229402262
73,0,2010,4,25,26.886,444.87,0.36498,25.393,0.36409,1.8086,0.36484,0.36473,0.014410339256865912
74,0,2010,5,25,27.469,278.15,0.35377,25.452,0.35774,1.7407,0.35453,0.35422,0.051276252019386105
75,0,2010,6,25,27.253,98.112,0.33836,24.352,0.35793,1.7718,0.33685,0.33685,0.052762520193861066
76,0,2010,7,25,27.302,149.57,0.34203,24.372,0.34591,1.8109,0.3407,0.34063,0.061744749596122785
77,0,2010,8,25,28.005,123.76,0.30097,23.394,0.32519,1.9233,0.29158,0.2921,0.2553150242326333
78,0,2010,9,25,28.698,78.951,0.27039,22.975,0.29756,2.1995,0.25806,0.259,0.3097253634894992
79,0,2010,10,25,29.505,116.69,0.24421,22.377,0.27608,2.3683,0.22691,0.22705,0.5111147011308562
80,0,2010,11,25,28.674,111.99,0.25206,23.104,0.26328,2.2016,0.26646,0.26182,0.591373182552504
81,0,2010,12,25,27.234,243.24,0.2847,23.781,0.26574,2.0187,0.3016,0.2969,0.3844911147011309
82,0,2011,1,26,25.775,438.87,0.33051,23.954,0.29845,1.9864,0.3433,0.34052,0.125686591276252
83,0,2011,2,26,25.852,573.15,0.35662,24.05,0.35459,1.9486,0.35676,0.35655,0.047075928917609054
84,0,2011,3,26,25.978,538.52,0.35747,24.304,0.35955,1.8727,0.3579,0.35777,0.037350565428109855
85,0,2011,4,26,25.965,381.49,0.36638,24.528,0.36694,1.7745,0.36572,0.36572,0.04306946688206785
86,0,2011,5,26,26.616,326.23,0.35917,24.9,0.36356,1.7665,0.35877,0.35871,0.018869143780290795
87,0,2011,6,26,27.035,98.758,0.32818,24.076,0.34274,1.9929,0.32748,0.32718,0.037705977382875615
88,0,2011,7,26,26.867,152.31,0.32301,23.523,0.32665,1.8927,0.32176,0.32159,0.11996768982229405
89,0,2011,8,26,27.929,189.26,0.29375,23.286,0.31116,2.0728,0.28785,0.28758,0.15063004846526656
90,0,2011,9,26,29.255,94.524,0.26691,22.501,0.29081,2.2889,0.24997,0.25185,0.3705977382875607
91,0,2011,10,26,29.64,248.46,0.24007,21.883,0.27185,2.3207,0.22267,0.22381,0.6863651050080777
92,0,2011,11,26,29.149,168.96,0.24342,22.168,0.25981,2.3215,0.24334,0.2408,0.3075605815831987
93,0,2011,12,26,29.923,161.4,0.233,21.477,0.25054,2.65,0.21709,0.21787,0.3610662358642973
94,1,2004,1,19,26.132,360.91,0.34844,24.661,0.33385,1.8766,0.35274,0.35192,0.06239067055393586
95,1,2004,2,19,25.295,484.67,0.36411,24.401,0.36357,1.9206,0.36361,0.36376,0.05276967930029154
96,1,2004,3,19,25.61,460.76,0.36351,24.651,0.36575,1.9948,0.36399,0.36383,0.012354227405247813
97,1,2004,4,19,26.328,350.02,0.35697,24.753,0.36079,1.9063,0.35677,0.35679,0.021173469387755106
98,1,2004,5,19,26.566,186.72,0.36085,24.94,0.36468,1.8569,0.36002,0.36022,0.04588192419825073
99,1,2004,6,19,26.077,109.45,0.35274,24.373,0.35567,1.8734,0.35241,0.35267,0.08731778425655977
100,1,2004,7,19,26.182,173.3,0.34552,23.648,0.35143,1.8517,0.34244,0.34307,0.2825801749271137
101,1,2004,8,19,26.597,169.62,0.32168,23.918,0.33193,1.9428,0.32118,0.32079,0.35583090379008747
102,1,2004,9,19,27.036,139.82,0.31891,24.233,0.32213,2.0291,0.32212,0.32032,0.42543731778425653
103,1,2004,10,19,27.602,221.24,0.29996,23.498,0.31129,2.3076,0.29262,0.29302,0.44828717201166185
104,1,2004,11,19,27.544,9.9482,0.28812,23.601,0.29783,2.3453,0.28886,0.28758,0.43473032069970846
105,1,2004,12,19,27.309,136.33,0.28844,23.807,0.2912,2.0102,0.2927,0.29019,0.20564868804664718
106,1,2005,1,20,27.286,212.56,0.29215,24.269,0.28793,2.0396,0.30134,0.29818,0.14919825072886297
107,1,2005,2,20,26.578,446.28,0.3218,24.765,0.30038,2.0914,0.33256,0.32987,0.0635932944606414
108,1,2005,3,20,26.355,376.8,0.34371,24.69,0.33409,1.8963,0.34691,0.34601,0.06854956268221574
109,1,2005,4,20,26.643,404.49,0.3469,24.8,0.348,1.8473,0.3463,0.34616,0.024016034985422735
110,1,2005,5,20,26.397,316.81,0.35128,24.952,0.35101,1.7458,0.35231,0.35219,0.06650874635568514
111,1,2005,6,20,26.848,101.77,0.34394,24.529,0.35258,1.8646,0.34158,0.342,0.18123177842565602
112,1,2005,7,20,27.091,74.006,0.32503,23.823,0.33576,1.6948,0.32078,0.32119,0.10841836734693877
113,1,2005,8,20,27.941,96.237,0.28944,23.314,0.30965,2.0252,0.28272,0.28272,0.3262026239067056
114,1,2005,9,20,28.79,41.403,0.26585,22.541,0.28966,2.4467,0.2437,0.24671,0.592201166180758
115,1,2005,10,20,28.3,122.34,0.25997,23.321,0.27443,2.4174,0.26832,0.26336,0.2561224489795918
116,1,2005,11,20,28.476,72.605,0.26373,23.576,0.26716,2.3375,0.26755,0.26388,0.46902332361516036
117,1,2005,12,20,26.85,333.23,0.29839,24.272,0.27658,1.6893,0.31668,0.31148,0.16428571428571428
118,1,2006,1,21,26.595,341.51,0.33994,24.74,0.32083,1.9897,0.34587,0.34462,0.17653061224489797
119,1,2006,2,21,26.204,309.01,0.34861,24.626,0.34523,2.1281,0.35104,0.35031,0.07292274052478136
120,1,2006,3,21,26.019,452.42,0.36103,24.734,0.35914,2.176,0.361,0.36088,0.05754373177842566
121,1,2006,4,21,25.978,516.34,0.36628,24.882,0.36728,1.5105,0.36575,0.36582,0.01525783527696793
122,1,2006,5,21,26.171,349.06,0.36155,24.843,0.36493,1.6832,0.36109,0.36121,0.09041545189504373
123,1,2006,6,21,26.598,94.03,0.34494,24.204,0.35502,1.6346,0.34246,0.34285,0.02292274052478134
124,1,2006,7,21,27.156,111.16,0.31909,24.049,0.33055,1.8849,0.3193,0.31881,0.042018950437317786
125,1,2006,8,21,27.636,120.66,0.30636,23.897,0.31578,2.0829,0.30444,0.30413,0.15732507288629738
126,1,2006,9,21,28.251,129.82,0.28342,23.334,0.30029,2.2166,0.27897,0.27759,0.17408892128279885
127,1,2006,10,21,29.143,127.15,0.26454,22.787,0.2834,2.4335,0.2477,0.25083,0.49322157434402336
128,1,2006,11,21,28.427,144.26,0.26039,23.159,0.27174,2.1827,0.26171,0.25841,0.2811588921282799
129,1,2006,12,21,28.852,239.74,0.25085,22.782,0.26405,2.41,0.24324,0.24136,0.29300291545189505
130,1,2007,1,22,29.083,161.52,0.24159,23.677,0.25605,2.4876,0.25329,0.246,0.21443148688046648
131,1,2007,2,22,26.198,543.37,0.29861,24.294,0.26777,2.2544,0.32402,0.31796,0.14380466472303208
132,1,2007,3,22,26.147,527.69,0.34308,24.591,0.3208,1.9766,0.35022,0.34882,0.02988338192419825
133,1,2007,4,22,26.553,454.07,0.36034,25.051,0.35755,1.8929,0.36094,0.36079,0.027405247813411082
134,1,2007,5,22,27.013,343.99,0.3576,25.173,0.35986,1.862,0.35704,0.35714,0.020626822157434402
135,1,2007,6,22,26.987,99.229,0.34263,24.063,0.35146,1.899,0.33866,0.33936,0.02576530612244898
136,1,2007,7,22,27.018,100.54,0.32594,24.284,0.33189,1.7553,0.32876,0.32773,0.05666909620991254
137,1,2007,8,22,27.659,57.046,0.31248,23.804,0.32094,2.0088,0.31036,0.30999,0.10488338192419827
138,1,2007,9,22,28.445,74.676,0.28239,23.273,0.3037,2.2834,0.273,0.27291,0.3305758017492712
139,1,2007,10,22,28.267,179.94,0.26346,23.133,0.28505,2.4597,0.26473,0.26094,0.47529154518950434
140,1,2007,11,22,29.365,93.777,0.2469,22.592,0.2717,2.5323,0.23333,0.23101,0.4098032069970845
141,1,2007,12,22,27.158,332.69,0.26404,23.777,0.26358,1.9742,0.29272,0.28483,0.18695335276967928
142,1,2008,1,23,26.094,430.86,0.32352,24.035,0.28765,2.026,0.33843,0.33527,0.14901603498542274
143,1,2008,2,23,25.983,418.01,0.35727,24.393,0.35095,2.0207,0.35868,0.35838,0.04322157434402332
144,1,2008,3,23,25.654,515.63,0.36392,24.153,0.364,1.6453,0.36349,0.36359,0.056960641399416916
145,1,2008,4,23,25.948,477.05,0.36439,24.565,0.36731,1.6736,0.36447,0.36457,0.06690962099125364
146,1,2008,5,23,26.187,307.1,0.36049,24.637,0.36802,1.7208,0.36043,0.36029,0.044314868804664724
147,1,2008,6,23,26.362,175.52,0.35212,24.078,0.3581,1.6947,0.3494,0.34981,0.04172740524781341
148,1,2008,7,23,26.96,68.148,0.31649,23.436,0.33145,1.8285,0.31622,0.3155,0.10309766763848396
149,1,2008,8,23,27.453,82.902,0.31362,23.642,0.31857,1.9141,0.31484,0.31377,0.18083090379008745
150,1,2008,9,23,28.16,115.79,0.29746,23.652,0.30689,2.2509,0.29726,0.29568,0.6390670553935861
151,1,2008,10,23,28.803,172.65,0.27428,22.762,0.29188,2.4395,0.26737,0.26711,0.363301749271137
152,1,2008,11,23,29.429,88.508,0.24514,22.365,0.27514,2.4118,0.2335,0.23134,0.21909620991253642
153,1,2008,12,23,27.397,206.52,0.30249,23.957,0.28295,1.9059,0.31581,0.31124,0.46322886297376087
154,1,2009,1,24,26.739,302.09,0.32504,24.073,0.31106,2.0401,0.3312,0.32955,0.10302478134110787
155,1,2009,2,24,26.046,431.57,0.35296,24.323,0.3443,1.9628,0.35603,0.35539,0.04533527696793002
156,1,2009,3,24,26.098,569.9,0.36171,24.605,0.36437,1.8023,0.36148,0.36147,0.03148688046647231
157,1,2009,4,24,26.163,468.59,0.35328,24.312,0.35701,1.6698,0.35356,0.35319,0.004810495626822157
158,1,2009,5,24,25.988,544.7,0.36485,24.468,0.36558,1.5193,0.36463,0.36457,0.05400874635568514
159,1,2009,6,24,26.227,332.74,0.35533,24.388,0.36351,1.8308,0.35512,0.35533,0.061661807580174935
160,1,2009,7,24,26.856,85.615,0.32925,23.833,0.34177,2.0467,0.32642,0.32684,0.126567055393586
161,1,2009,8,24,28.183,62.841,0.29024,22.872,0.31346,2.1847,0.27818,0.27934,0.20841836734693883
162,1,2009,9,24,29.308,65.107,0.26457,21.729,0.28946,2.5489,0.2326,0.23947,0.5138848396501458
163,1,2009,10,24,30.126,70.557,0.24629,21.069,0.27083,2.5929,0.21379,0.21973,0.3558673469387755
164,1,2009,11,24,30.316,48.459,0.24095,21.126,0.25753,2.7968,0.20721,0.21474,0.688228862973761
165,1,2010,2,25,27.484,349.49,0.3348,24.692,0.30502,2.5474,0.3424,0.34057,0.060823615160349856
166,1,2010,3,25,27.87,257.27,0.33091,24.749,0.32778,2.1424,0.33339,0.33238,0.009220116618075801
167,1,2010,4,25,26.886,444.87,0.36498,25.393,0.36409,1.8086,0.36484,0.36473,0.018695335276967928
168,1,2010,5,25,27.469,278.15,0.35377,25.452,0.35774,1.7407,0.35453,0.35422,0.04216472303206997
169,1,2010,6,25,27.253,98.112,0.33836,24.352,0.35793,1.7718,0.33685,0.33685,0.08615160349854228
170,1,2010,7,25,27.302,149.57,0.34203,24.372,0.34591,1.8109,0.3407,0.34063,0.053571428571428575
171,1,2010,8,25,28.005,123.76,0.30097,23.394,0.32519,1.9233,0.29158,0.2921,0.2724489795918368
172,1,2010,9,25,28.698,78.951,0.27039,22.975,0.29756,2.1995,0.25806,0.259,0.3762390670553936
173,1,2010,10,25,29.505,116.69,0.24421,22.377,0.27608,2.3683,0.22691,0.22705,0.5831268221574343
174,1,2010,11,25,28.674,111.99,0.25206,23.104,0.26328,2.2016,0.26646,0.26182,0.774161807580175
175,1,2010,12,25,27.234,243.24,0.2847,23.781,0.26574,2.0187,0.3016,0.2969,0.34792274052478134
176,1,2011,1,26,25.775,438.87,0.33051,23.954,0.29845,1.9864,0.3433,0.34052,0.13965014577259474
177,1,2011,2,26,25.852,573.15,0.35662,24.05,0.35459,1.9486,0.35676,0.35655,0.059402332361516035
178,1,2011,3,26,25.978,538.52,0.35747,24.304,0.35955,1.8727,0.3579,0.35777,0.04088921282798834
179,1,2011,4,26,25.965,381.49,0.36638,24.528,0.36694,1.7745,0.36572,0.36572,0.009183673469387754
180,1,2011,5,26,26.616,326.23,0.35917,24.9,0.36356,1.7665,0.35877,0.35871,0.0114067055393586
181,1,2011,6,26,27.035,98.758,0.32818,24.076,0.34274,1.9929,0.32748,0.32718,0.023688046647230322
182,1,2011,7,26,26.867,152.31,0.32301,23.523,0.32665,1.8927,0.32176,0.32159,0.12069970845481048
183,1,2011,8,26,27.929,189.26,0.29375,23.286,0.31116,2.0728,0.28785,0.28758,0.22933673469387755
184,1,2011,9,26,29.255,94.524,0.26691,22.501,0.29081,2.2889,0.24997,0.25185,0.24063411078717203
185,1,2011,10,26,29.64,248.46,0.24007,21.883,0.27185,2.3207,0.22267,0.22381,0.706195335276968
186,1,2011,11,26,29.149,168.96,0.24342,22.168,0.25981,2.3215,0.24334,0.2408,0.34136297376093294
187,1,2011,12,26,29.923,161.4,0.233,21.477,0.25054,2.65,0.21709,0.21787,0.3282798833819242
188,3,2004,1,18,26.132,360.91,0.34844,24.661,0.33385,1.8766,0.35274,0.35192,0.09453357100415925
189,3,2004,2,18,25.295,484.67,0.36411,24.401,0.36357,1.9206,0.36361,0.36376,0.04263220439691029
190,3,2004,3,18,25.61,460.76,0.36351,24.651,0.36575,1.9948,0.36399,0.36383,0.015181224004753422
191,3,2004,4,18,26.328,350.02,0.35697,24.753,0.36079,1.9063,0.35677,0.35679,0.07703505644682117
192,3,2004,5,18,26.566,186.72,0.36085,24.94,0.36468,1.8569,0.36002,0.36022,0.10276292335115866
193,3,2004,6,18,26.077,109.45,0.35274,24.373,0.35567,1.8734,0.35241,0.35267,0.2784016636957813
194,3,2004,7,18,26.182,173.3,0.34552,23.648,0.35143,1.8517,0.34244,0.34307,0.33336304218657165
195,3,2004,8,18,26.597,169.62,0.32168,23.918,0.33193,1.9428,0.32118,0.32079,0.18844325609031493
196,3,2004,9,18,27.036,139.82,0.31891,24.233,0.32213,2.0291,0.32212,0.32032,0.2910873440285205
197,3,2004,10,18,27.602,221.24,0.29996,23.498,0.31129,2.3076,0.29262,0.29302,0.4129530600118835
198,3,2004,11,18,27.544,9.9482,0.28812,23.601,0.29783,2.3453,0.28886,0.28758,0.2523767082590613
199,3,2004,12,18,27.309,136.33,0.28844,23.807,0.2912,2.0102,0.2927,0.29019,0.18983957219251343
200,3,2005,1,19,27.286,212.56,0.29215,24.269,0.28793,2.0396,0.30134,0.29818,0.1811051693404635
201,3,2005,2,19,26.578,446.28,0.3218,24.765,0.30038,2.0914,0.33256,0.32987,0.11966726084373146
202,3,2005,3,19,26.355,376.8,0.34371,24.69,0.33409,1.8963,0.34691,0.34601,0.11408199643493762
203,3,2005,4,19,26.643,404.49,0.3469,24.8,0.348,1.8473,0.3463,0.34616,0.09307783719548426
204,3,2005,5,19,26.397,316.81,0.35128,24.952,0.35101,1.7458,0.35231,0.35219,0.21039809863339276
205,3,2005,6,19,26.848,101.77,0.34394,24.529,0.35258,1.8646,0.34158,0.342,0.2811051693404635
206,3,2005,7,19,27.091,74.006,0.32503,23.823,0.33576,1.6948,0.32078,0.32119,0.13674985145573382
207,3,2005,8,19,27.941,96.237,0.28944,23.314,0.30965,2.0252,0.28272,0.28272,0.48847296494355325
208,3,2005,9,19,28.79,41.403,0.26585,22.541,0.28966,2.4467,0.2437,0.24671,0.18749257278669046
209,3,2005,10,19,28.3,122.34,0.25997,23.321,0.27443,2.4174,0.26832,0.26336,0.2596553773024361
210,3,2005,11,19,28.476,72.605,0.26373,23.576,0.26716,2.3375,0.26755,0.26388,0.20695187165775406
211,3,2005,12,19,26.85,333.23,0.29839,24.272,0.27658,1.6893,0.31668,0.31148,0.16357694592988714
212,3,2006,1,20,26.595,341.51,0.33994,24.74,0.32083,1.9897,0.34587,0.34462,0.16485442661913252
213,3,2006,2,20,26.204,309.01,0.34861,24.626,0.34523,2.1281,0.35104,0.35031,0.17290552584670232
214,3,2006,3,20,26.019,452.42,0.36103,24.734,0.35914,2.176,0.361,0.36088,0.07177658942364826
215,3,2006,4,20,25.978,516.34,0.36628,24.882,0.36728,1.5105,0.36575,0.36582,0.09553267973856212
216,3,2006,5,20,26.171,349.06,0.36155,24.843,0.36493,1.6832,0.36109,0.36121,0.04964349376114083
217,3,2006,6,20,26.598,94.03,0.34494,24.204,0.35502,1.6346,0.34246,0.34285,0.06954842543077838
218,3,2006,7,20,27.156,111.16,0.31909,24.049,0.33055,1.8849,0.3193,0.31881,0.11598336304218655
219,3,2006,8,20,27.636,120.66,0.30636,23.897,0.31578,2.0829,0.30444,0.30413,0.2085561497326204
220,3,2006,9,20,28.251,129.82,0.28342,23.334,0.30029,2.2166,0.27897,0.27759,0.19144385026737973
221,3,2006,10,20,29.143,127.15,0.26454,22.787,0.2834,2.4335,0.2477,0.25083,0.46310160427807495
222,3,2006,11,20,28.427,144.26,0.26039,23.159,0.27174,2.1827,0.26171,0.25841,0.13199643493761143
223,3,2006,12,20,28.852,239.74,0.25085,22.782,0.26405,2.41,0.24324,0.24136,0.20389185977421267
224,3,2007,1,21,29.083,161.52,0.24159,23.677,0.25605,2.4876,0.25329,0.246,0.15273321449792043
225,3,2007,2,21,26.198,543.37,0.29861,24.294,0.26777,2.2544,0.32402,0.31796,0.17733214497920383
226,3,2007,3,21,26.147,527.69,0.34308,24.591,0.3208,1.9766,0.35022,0.34882,0.07355912061794416
227,3,2007,4,21,26.553,454.07,0.36034,25.051,0.35755,1.8929,0.36094,0.36079,0.03689839572192514
228,3,2007,5,21,27.013,343.99,0.3576,25.173,0.35986,1.862,0.35704,0.35714,0.0401663695781343
229,3,2007,6,21,26.987,99.229,0.34263,24.063,0.35146,1.899,0.33866,0.33936,0.05210932857991682
230,3,2007,7,21,27.018,100.54,0.32594,24.284,0.33189,1.7553,0.32876,0.32773,0.11470588235294121
231,3,2007,8,21,27.659,57.046,0.31248,23.804,0.32094,2.0088,0.31036,0.30999,0.12442067736185386
232,3,2007,9,21,28.445,74.676,0.28239,23.273,0.3037,2.2834,0.273,0.27291,0.172756981580511
233,3,2007,10,21,28.267,179.94,0.26346,23.133,0.28505,2.4597,0.26473,0.26094,0.37462863933452173
234,3,2007,11,21,29.365,93.777,0.2469,22.592,0.2717,2.5323,0.23333,0.23101,0.4011883541295307
235,3,2007,12,21,27.158,332.69,0.26404,23.777,0.26358,1.9742,0.29272,0.28483,0.22852049910873445
236,3,2008,1,22,26.094,430.86,0.32352,24.035,0.28765,2.026,0.33843,0.33527,0.05941770647653001
237,3,2008,2,22,25.983,418.01,0.35727,24.393,0.35095,2.0207,0.35868,0.35838,0.0787878787878788
238,3,2008,3,22,25.654,515.63,0.36392,24.153,0.364,1.6453,0.36349,0.36359,0.04426619132501486
239,3,2008,4,22,25.948,477.05,0.36439,24.565,0.36731,1.6736,0.36447,0.36457,0.05710041592394534
240,3,2008,5,22,26.187,307.1,0.36049,24.637,0.36802,1.7208,0.36043,0.36029,0.05270350564468212
241,3,2008,6,22,26.362,175.52,0.35212,24.078,0.3581,1.6947,0.3494,0.34981,0.053119429590017836
242,3,2008,7,22,26.96,68.148,0.31649,23.436,0.33145,1.8285,0.31622,0.3155,0.10457516339869284
